PHI,T,P,NH3,H2,CH4,LBV,REF NO
0.8,298,1,0.8,0.2,0,7.07,121
0.8,298,3,0.7,0.3,0,7.1,60
1,308,1,0,0,1,38.3,85
0.8,298,1,0.85,0.15,0,7.18,55
0.8,343,5,0.7,0.3,0,7.27,60
0.8,373,1,0.95,0.05,0,7.29,57
0.8,343,5,0.7,0.3,0,7.4,60
1,303,1,0,0,1,35.2,74
1.2,308,1,0,0,1,34.9,98
0.7,318,1,0,0,1,19.5,111
1.2,298,3,0,0,1,13.7,83
0.7,300,1,0,0,1,14.1,83
0.65,318,1,0,0,1,14.3,83
1,318,1,0,0,1,42.2,83
0.8,298,1,0.8,0.2,0,7.66,52
1.2,308,1,0,0,1,35.2,74
1.2,318,1,0,0,1,36.2,74
0.8,298,5,0,0,1,10.6,112
0.8,343,3,0.7,0.3,0,8.4,60
0.8,298,1,0.8,0.2,0,8.61,15
1,298,5,0,0,1,16.3,112
1.45,318,1,0,0,1,14.5,112
0.95,318,1,0,0,1,40.1,112
1,318,1,0,0,1,40.2,112
0.8,298,5,0.6,0.4,0,9.2,56
1.4,318,1,0,0,1,18.6,90
1.3,318,1,0,0,1,27.7,98
0.8,318,1,0,0,1,29.1,98
0.8,393,5,0.7,0.3,0,9.8,60
0.8,300,5,0.3,0.14,0.56,9.85,13
0.8,393,5,0.7,0.3,0,9.85,60
0.8,318,1,0,0,1,29.4,98
0.8,473,3,0.9,0.1,0,10.1,17
0.8,298,1,0.75,0.25,0,10.4,55
0.8,423,1,0.95,0.05,0,10.4,57
0.85,318,1,0,0,1,33.2,98
1.2,328,1,0,0,1,38.6,85
1.1,318,1,0,0,1,42.3,83
0.8,298,1,0.8,0.2,0,10.82,118
0.8,298,1.5,0.67,0.33,0,11,61
1.15,318,1,0,0,1,40.3,112
0.8,393,3,0.7,0.3,0,11.1,60
0.8,300,5,0.2,0.16,0.64,11.22,13
0.8,328,1,0,0,1,30.5,98
0.85,338,1,0,0,1,37.6,85
1.4,338,1,0,0,1,20.2,95
1.05,318,1,0,0,1,42.7,83
1,318,1,0,0,1,40.7,112
1,328,1,0,0,1,40,112
1.2,338,1,0,0,1,41.3,112
1.15,338,1,0,0,1,44.7,112
0.95,338,1,0,0,1,45,112
1,338,1,0,0,1,47,112
0.8,298,3,0.6,0.4,0,11.8,56
0.8,443,5,0.7,0.3,0,11.8,60
1.3,338,1,0,0,1,31.3,98
0.6,338,1,0,0,1,13.2,83
0.8,298,1,0.7,0.3,0,12,60
0.8,298,1,0.8,0.2,0,12.07,117
0.9,338,1,0,0,1,42.1,83
1.1,338,1,0,0,1,47.1,112
0.8,300,5,0.1,0.18,0.72,12.78,13
0.8,303,5,0,0.2,0.8,13.07,86
1.05,338,1,0,0,1,47.6,112
0.8,343,1,0,0,1,33,98
0.8,473,1,0.95,0.05,0,13.6,57
0.8,298,1,0.7,0.3,0,13.7,57
0.8,473,1,0.95,0.05,0,13.8,17
0.8,298,1,0.67,0.33,0,14,61
1,343,1,0,0,1,45,101
0.8,350,1,0,0,1,29.7,98
0.8,298,1,0.7,0.3,0,14.62,62
1.4,358,1,0,0,1,21,95
1.1,358,1,0,0,1,50.5,88
0.8,443,3,0.7,0.3,0,14.9,60
0.8,298,1,0.7,0.3,0,15.23,118
1,358,1,0,0,1,50.6,88
0.8,298,1,0.65,0.35,0,15.5,55
1.05,358,1,0,0,1,51.2,88
0.9,318,1,0,0,1,36.7,74
0.8,373,7.5,0,0.2,0.8,15.94,112
0.8,473,1,0.9,0.1,0,16,17
0.8,343,1,0.7,0.3,0,16,60
0.8,298,3,0.5,0.5,0,16.6,121
0.8,323,1,0.7,0.3,0,16.9,57
0.7,358,1,0,0,1,22.3,74
0.8,298,1,0.7,0.3,0,17.14,117
1.2,350,1,0,0,1,42.9,112
1,350,1,0,0,1,44.2,112
0.8,298,1.5,0.5,0.5,0,18,61
1.45,358,1,0,0,1,16.3,112
0.8,298,1,0.6,0.4,0,18.57,15
0.8,298,1,0.6,0.4,0,18.6,55
1.2,358,1,0,0,1,45.1,112
1.2,358,1,0,0,1,45.6,112
0.9,358,1,0,0,1,46.2,112
0.8,393,1,0.7,0.3,0,19,60
0.8,373,5,0,0.2,0.8,19.22,90
0.8,298,1,0.6,0.4,0,19.7,57
1.15,358,1,0,0,1,48.4,112
0.8,360,1,0.7,0.3,0,19.86,62
0.85,358,1,0,0,1,41.7,81
1.2,343,1,0,0,1,41.9,83
